sale_date,country_norm_mapped,exchange_rate,inflation_rate,gdp_per_capita,season_factor
2020-01-05,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-05,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-05,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-05,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-05,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-05,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-05,taiwan,29.5,-0.2,28371.0,0.8
2020-01-05,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-05,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-05,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-05,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-05,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-06,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-06,united states,1.0,1.233584396,64401.50744,0.8
2020-01-06,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-06,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-06,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-06,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-06,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-06,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-06,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-06,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-06,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-06,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-06,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-06,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-06,taiwan,29.5,-0.2,28371.0,0.8
2020-01-06,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-06,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-06,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-06,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-07,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-07,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-07,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-07,united states,1.0,1.233584396,64401.50744,0.8
2020-01-07,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-07,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-07,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-07,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-07,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-07,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-07,taiwan,29.5,-0.2,28371.0,0.8
2020-01-07,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-07,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-07,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-07,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-07,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-07,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-07,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-07,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-08,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-08,united states,1.0,1.233584396,64401.50744,0.8
2020-01-08,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-08,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-08,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-08,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-08,taiwan,29.5,-0.2,28371.0,0.8
2020-01-08,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-08,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-08,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-08,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-08,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-08,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-08,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-08,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-08,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-08,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-08,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-08,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-09,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-09,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-09,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-09,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-09,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-09,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-09,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-09,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-09,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-09,united states,1.0,1.233584396,64401.50744,0.8
2020-01-09,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-09,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-09,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-09,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-09,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-09,taiwan,29.5,-0.2,28371.0,0.8
2020-01-09,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-09,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-09,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-10,united states,1.0,1.233584396,64401.50744,0.8
2020-01-10,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-10,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-10,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-10,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-10,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-10,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-10,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-10,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-10,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-10,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-10,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-10,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-10,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-10,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-10,taiwan,29.5,-0.2,28371.0,0.8
2020-01-10,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-10,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-10,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-11,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-11,united states,1.0,1.233584396,64401.50744,0.8
2020-01-11,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-11,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-11,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-11,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-11,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-11,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-11,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-11,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-11,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-11,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-11,taiwan,29.5,-0.2,28371.0,0.8
2020-01-11,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-11,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-11,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-11,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-11,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-11,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-12,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-12,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-12,united states,1.0,1.233584396,64401.50744,0.8
2020-01-12,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-12,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-12,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-12,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-12,mexico,21.48560833,3.396834156,8841.270751,0.8
